Loading handle mappings...
  CMOTamilnadu: 9504 IDs
  mkstalin: 4663 IDs
  TRBRajaa: 20441 IDs

Processing batches 5 to 692 (688 batches)

  [Saved progress: 11950 tweets]

Batch 255 (50 tweets)... 48 fetched, 538 404s, 14 errors

Batch 256 (50 tweets)... 49 fetched, 539 404s, 14 errors

Batch 257 (50 tweets)... 50 fetched, 539 404s, 14 errors

Batch 258 (50 tweets)... 47 fetched, 542 404s, 14 errors

Batch 259 (50 tweets)... 49 fetched, 543 404s, 14 errors

Batch 260 (50 tweets)... 50 fetched, 543 404s, 14 errors

Batch 261 (50 tweets)... 49 fetched, 544 404s, 14 errors

Batch 262 (50 tweets)... 50 fetched, 544 404s, 14 errors

Batch 263 (50 tweets)... 47 fetched, 547 404s, 14 errors

Batch 264 (50 tweets)... 44 fetched, 553 404s, 14 errors
  [Saved progress: 12433 tweets]

Batch 265 (50 tweets)... 47 fetched, 556 404s, 14 errors

Batch 266 (50 tweets)... 48 fetched, 558 404s, 14 errors

Batch 267 (50 tweets)... 47 fetched, 561 404s, 14 errors

Batch 268 (50 tweets)... 47 fetched, 564 404s, 14 errors

Batch 269 (50 tweets)... 47 fetched, 567 404s, 14 errors

Batch 270 (50 tweets)... 49 fetched, 568 404s, 14 errors

Batch 271 (50 tweets)... 49 fetched, 569 404s, 14 errors

Batch 272 (50 tweets)... 48 fetched, 571 404s, 14 errors

Batch 273 (50 tweets)... 50 fetched, 571 404s, 14 errors

Batch 274 (50 tweets)... 46 fetched, 575 404s, 14 errors
  [Saved progress: 12911 tweets]

Batch 275 (50 tweets)... 46 fetched, 579 404s, 14 errors

Batch 276 (50 tweets)... 48 fetched, 581 404s, 14 errors

Batch 277 (50 tweets)... 47 fetched, 584 404s, 14 errors

Batch 278 (50 tweets)... 46 fetched, 588 404s, 14 errors

Batch 279 (50 tweets)... 47 fetched, 591 404s, 14 errors

Batch 280 (50 tweets)... 48 fetched, 593 404s, 14 errors

Batch 281 (50 tweets)... 48 fetched, 595 404s, 14 errors

Batch 282 (50 tweets)... 48 fetched, 597 404s, 14 errors

Batch 283 (50 tweets)... 46 fetched, 601 404s, 14 errors

Batch 284 (50 tweets)... 50 fetched, 601 404s, 14 errors
  [Saved progress: 13385 tweets]

Batch 285 (50 tweets)... 49 fetched, 602 404s, 14 errors

Batch 286 (50 tweets)... 48 fetched, 604 404s, 14 errors

Batch 287 (50 tweets)... 46 fetched, 606 404s, 16 errors

Batch 288 (50 tweets)... 49 fetched, 607 404s, 16 errors

Batch 289 (50 tweets)... 47 fetched, 610 404s, 16 errors

Batch 290 (50 tweets)... 49 fetched, 611 404s, 16 errors

Batch 291 (50 tweets)... 49 fetched, 612 404s, 16 errors

Batch 292 (50 tweets)... 50 fetched, 612 404s, 16 errors

Batch 293 (50 tweets)... 49 fetched, 613 404s, 16 errors

Batch 294 (50 tweets)... 48 fetched, 615 404s, 16 errors
  [Saved progress: 13869 tweets]

Batch 295 (50 tweets)... 49 fetched, 616 404s, 16 errors

Batch 296 (50 tweets)... 48 fetched, 618 404s, 16 errors

Batch 297 (50 tweets)... 49 fetched, 619 404s, 16 errors

Batch 298 (50 tweets)... 50 fetched, 619 404s, 16 errors

Batch 299 (50 tweets)... 49 fetched, 620 404s, 16 errors

Batch 300 (50 tweets)... 47 fetched, 623 404s, 16 errors

Batch 301 (50 tweets)... 49 fetched, 624 404s, 16 errors

Batch 302 (50 tweets)... 49 fetched, 625 404s, 16 errors

Batch 303 (50 tweets)... 50 fetched, 625 404s, 16 errors

Batch 304 (50 tweets)... 48 fetched, 627 404s, 16 errors
  [Saved progress: 14357 tweets]

Batch 305 (50 tweets)... 48 fetched, 629 404s, 16 errors

Batch 306 (50 tweets)... 48 fetched, 631 404s, 16 errors

Batch 307 (50 tweets)... 50 fetched, 631 404s, 16 errors

Batch 308 (50 tweets)... 49 fetched, 632 404s, 16 errors

Batch 309 (50 tweets)... 50 fetched, 632 404s, 16 errors

Batch 310 (50 tweets)... 50 fetched, 632 404s, 16 errors

Batch 311 (50 tweets)... 50 fetched, 632 404s, 16 errors

Batch 312 (50 tweets)... 49 fetched, 633 404s, 16 errors

Batch 313 (50 tweets)... 50 fetched, 633 404s, 16 errors

Batch 314 (50 tweets)... 49 fetched, 634 404s, 16 errors
  [Saved progress: 14850 tweets]

Batch 315 (50 tweets)... 49 fetched, 635 404s, 16 errors

Batch 316 (50 tweets)... 49 fetched, 636 404s, 16 errors

Batch 317 (50 tweets)... 50 fetched, 636 404s, 16 errors

Batch 318 (50 tweets)... 49 fetched, 637 404s, 16 errors

Batch 319 (50 tweets)... 50 fetched, 637 404s, 16 errors

Batch 320 (50 tweets)... 49 fetched, 638 404s, 16 errors

Batch 321 (50 tweets)... 46 fetched, 642 404s, 16 errors

Batch 322 (50 tweets)... 47 fetched, 645 404s, 16 errors

Batch 323 (50 tweets)... 48 fetched, 647 404s, 16 errors

Batch 324 (50 tweets)... 50 fetched, 647 404s, 16 errors
  [Saved progress: 15337 tweets]

Batch 325 (50 tweets)... 48 fetched, 649 404s, 16 errors

Batch 326 (50 tweets)... 50 fetched, 649 404s, 16 errors

Batch 327 (50 tweets)... 47 fetched, 652 404s, 16 errors

Batch 328 (50 tweets)... 47 fetched, 655 404s, 16 errors

Batch 329 (50 tweets)... 50 fetched, 655 404s, 16 errors

Batch 330 (50 tweets)... 49 fetched, 656 404s, 16 errors

Batch 331 (50 tweets)... 48 fetched, 658 404s, 16 errors

Batch 332 (50 tweets)... 50 fetched, 658 404s, 16 errors

Batch 333 (50 tweets)... 50 fetched, 658 404s, 16 errors

